F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.031614818
y: 0.03179375
z: 0.044796426
","x: -0.043223023
y: 0.014343242
z: 0.028749071
","x: -0.051990584
y: -0.008420999
z: -0.0026891548
","x: -0.06671667
y: -0.036709
z: -0.010412672
","x: -0.016752884
y: -0.009705696
z: -0.0036841247
","x: -0.0150253
y: -0.03967778
z: -0.012098697
","x: -0.015581238
y: -0.05701621
z: -0.021912957
","x: -0.013629621
y: -0.07117676
z: -0.047887128
","x: 0.00081108196
y: -0.004315881
z: -0.000993424
","x: 0.015217018
y: -0.022357736
z: -0.016103873
","x: 0.02970059
y: -0.03924589
z: -0.03623298
","x: 0.049050264
y: -0.050449774
z: -0.07569632
"
"x: -0.03039071
y: 0.03264071
z: 0.043062035
","x: -0.044910252
y: 0.015652016
z: 0.029578159
","x: -0.053997885
y: -0.009634012
z: -0.0010639759
","x: -0.069305025
y: -0.03778529
z: -0.008580034
","x: -0.018075587
y: -0.008602179
z: -0.006286913
","x: -0.016416611
y: -0.03787805
z: -0.013676718
","x: -0.017968826
y: -0.05489433
z: -0.022711158
","x: -0.01618753
y: -0.07161801
z: -0.04906766
","x: 0.00026041648
y: -0.0032814601
z: -0.0016025876
","x: 0.014463505
y: -0.021697734
z: -0.016597392
","x: 0.029635586
y: -0.03728953
z: -0.034987044
","x: 0.048636176
y: -0.047159836
z: -0.07584408
"
"x: -0.03376702
y: 0.033889312
z: 0.036432788
","x: -0.045906838
y: 0.016473109
z: 0.02308458
","x: -0.05373508
y: -0.007785311
z: -0.006979619
","x: -0.06825393
y: -0.03635508
z: -0.010183449
","x: -0.017500399
y: -0.008081161
z: -0.0051916116
","x: -0.016798163
y: -0.03777864
z: -0.011737303
","x: -0.0164929
y: -0.05535819
z: -0.019585548
","x: -0.013595544
y: -0.072001636
z: -0.046054333
","x: 0.00047010015
y: -0.0037880067
z: -0.00059449783
","x: 0.014369808
y: -0.020910177
z: -0.016703023
","x: 0.031065013
y: -0.037133764
z: -0.035630923
","x: 0.050355557
y: -0.051316574
z: -0.07632031
"
"x: -0.03048987
y: 0.030519104
z: 0.04525016
","x: -0.044077072
y: 0.014571157
z: 0.02944574
","x: -0.052117184
y: -0.009044532
z: -0.0023531658
","x: -0.06719628
y: -0.035304215
z: -0.010370511
","x: -0.017556077
y: -0.008160467
z: -0.0063263006
","x: -0.014885133
y: -0.03848271
z: -0.014699136
","x: -0.017316267
y: -0.05510224
z: -0.024905099
","x: -0.015278889
y: -0.07058413
z: -0.05163355
","x: 4.7385227e-05
y: -0.0029639048
z: -0.0018186581
","x: 0.015351925
y: -0.020866955
z: -0.016522648
","x: 0.031604007
y: -0.035938215
z: -0.037016455
","x: 0.05195746
y: -0.04410858
z: -0.07903698
"
"x: -0.030981451
y: 0.029666157
z: 0.045090105
","x: -0.043929875
y: 0.0138444
z: 0.029319854
","x: -0.05173608
y: -0.0083620595
z: -0.0033107197
","x: -0.06677011
y: -0.035740595
z: -0.011868137
","x: -0.018157598
y: -0.009103778
z: -0.0049214736
","x: -0.015604576
y: -0.038748752
z: -0.013044716
","x: -0.0174191
y: -0.05566372
z: -0.022809142
","x: -0.015801448
y: -0.07069782
z: -0.050797492
","x: 1.3606506e-05
y: -0.0024529728
z: -0.0016486841
","x: 0.015950467
y: -0.020866334
z: -0.014773468
","x: 0.033245884
y: -0.037508905
z: -0.035239484
","x: 0.052275777
y: -0.044729732
z: -0.07760033
"
"x: -0.031056441
y: 0.032647032
z: 0.046225406
","x: -0.04451868
y: 0.016313916
z: 0.030660674
","x: -0.052524347
y: -0.00836921
z: -0.0018293902
","x: -0.068594486
y: -0.034759484
z: -0.010675514
","x: -0.017295701
y: -0.009534862
z: -0.00491212
","x: -0.016575754
y: -0.038418464
z: -0.013056404
","x: -0.02026203
y: -0.05470149
z: -0.022471474
","x: -0.021622756
y: -0.07039176
z: -0.051604975
","x: -3.761018e-05
y: -0.0029722624
z: -0.0019042906
","x: 0.017349306
y: -0.02156622
z: -0.015169685
","x: 0.03458942
y: -0.0370128
z: -0.033768572
","x: 0.05458968
y: -0.04485432
z: -0.07607737
"
"x: -0.031609613
y: 0.031069463
z: 0.041753344
","x: -0.04415554
y: 0.014559309
z: 0.026967358
","x: -0.05161898
y: -0.009415971
z: -0.0034298517
","x: -0.06655629
y: -0.0364479
z: -0.01186059
","x: -0.017400147
y: -0.008989887
z: -0.0052255956
","x: -0.01650348
y: -0.039114513
z: -0.011587863
","x: -0.01995612
y: -0.056160502
z: -0.021192519
","x: -0.020234596
y: -0.0709275
z: -0.047980376
","x: 7.604831e-05
y: -0.0030163259
z: -0.0011202847
","x: 0.017789986
y: -0.022507753
z: -0.013543955
","x: 0.035510715
y: -0.038763292
z: -0.030536762
","x: 0.056477413
y: -0.046980273
z: -0.07011123
"
"x: -0.0305653
y: 0.032830518
z: 0.048583474
","x: -0.044502337
y: 0.016894363
z: 0.032043427
","x: -0.05265581
y: -0.0068412554
z: -0.0028373585
","x: -0.066926114
y: -0.03213018
z: -0.011084516
","x: -0.017892929
y: -0.009247961
z: -0.005119983
","x: -0.01809073
y: -0.037763897
z: -0.013182373
","x: -0.021359509
y: -0.054932848
z: -0.023986254
","x: -0.022800084
y: -0.06959862
z: -0.05273562
","x: 6.69327e-05
y: -0.0030490246
z: -0.0019397743
","x: 0.01729504
y: -0.020854235
z: -0.017538814
","x: 0.034916602
y: -0.036095064
z: -0.0388036
","x: 0.05442641
y: -0.04424048
z: -0.08133288
"
"x: -0.02935718
y: 0.032847036
z: 0.046095274
","x: -0.044259205
y: 0.01767481
z: 0.030314239
","x: -0.05369317
y: -0.0067848917
z: -0.0024040632
","x: -0.07080314
y: -0.0316696
z: -0.011977305
","x: -0.017158411
y: -0.0084388945
z: -0.005516939
","x: -0.018115308
y: -0.038195007
z: -0.013564957
","x: -0.021905897
y: -0.05449048
z: -0.02387121
","x: -0.022618601
y: -0.06939486
z: -0.05152973
","x: -0.00020208675
y: -0.002971024
z: -0.001844167
","x: 0.016950157
y: -0.021347534
z: -0.015333893
","x: 0.03419721
y: -0.035702996
z: -0.034485612
","x: 0.05540105
y: -0.04204787
z: -0.07684327
"
"x: -0.031839672
y: 0.031351626
z: 0.041592795
","x: -0.04574109
y: 0.016508687
z: 0.026800077
","x: -0.0548364
y: -0.006347877
z: -0.0055151484
","x: -0.072891094
y: -0.029743077
z: -0.014535505
","x: -0.016584639
y: -0.008947654
z: -0.00462506
","x: -0.018101765
y: -0.040084824
z: -0.011424968
","x: -0.020024415
y: -0.05560147
z: -0.020174745
","x: -0.019832317
y: -0.07157293
z: -0.04701937
","x: 2.8028153e-05
y: -0.0033512488
z: -0.0008950137
","x: 0.017029995
y: -0.019957345
z: -0.015194403
","x: 0.0349401
y: -0.033835474
z: -0.03569996
","x: 0.05618398
y: -0.041024156
z: -0.07839273
"
"x: -0.032659285
y: 0.03393908
z: 0.04254824
","x: -0.048320904
y: 0.017106012
z: 0.028964086
","x: -0.05764125
y: -0.008437985
z: -0.002178279
","x: -0.07497592
y: -0.03379373
z: -0.018024694
","x: -0.016425604
y: -0.011589263
z: -0.0025183638
","x: -0.01705895
y: -0.043530226
z: -0.008695921
","x: -0.018716708
y: -0.059491225
z: -0.020465842
","x: -0.019471854
y: -0.07513862
z: -0.047566753
","x: 0.0008899516
y: -0.004613778
z: -0.00050335925
","x: 0.015883725
y: -0.02054916
z: -0.016523235
","x: 0.03074505
y: -0.031841926
z: -0.038902316
","x: 0.049269088
y: -0.033864904
z: -0.081201516
"
"x: -0.032220185
y: 0.031370785
z: 0.043245766
","x: -0.048878614
y: 0.016109768
z: 0.029224671
","x: -0.06002067
y: -0.0075560147
z: -0.0019596196
","x: -0.07777421
y: -0.030346073
z: -0.013459625
","x: -0.018659703
y: -0.010347592
z: -0.004769664
","x: -0.017876405
y: -0.040174995
z: -0.012772405
","x: -0.01927464
y: -0.05581262
z: -0.023086905
","x: -0.017988969
y: -0.07180159
z: -0.053880002
","x: 0.00019702001
y: -0.00345717
z: -0.001210258
","x: 0.0119172875
y: -0.014180705
z: -0.02302271
","x: 0.024454737
y: -0.021814872
z: -0.050565742
","x: 0.040203094
y: -0.0199132
z: -0.09590637
"
"x: -0.033816166
y: 0.032912765
z: 0.043294355
","x: -0.05005063
y: 0.017232476
z: 0.029271344
","x: -0.06262005
y: -0.005672157
z: -0.0024747325
","x: -0.080546916
y: -0.027964506
z: -0.01502969
","x: -0.017537791
y: -0.009473744
z: -0.0042450484
","x: -0.018910766
y: -0.040246345
z: -0.011420431
","x: -0.021057898
y: -0.056035206
z: -0.0247539
","x: -0.020532517
y: -0.07261197
z: -0.05684924
","x: 0.00040593458
y: -0.003876401
z: -0.00063075434
","x: 0.011253977
y: -0.014135208
z: -0.024090903
","x: 0.024114277
y: -0.017801188
z: -0.05389119
","x: 0.039620727
y: -0.014265858
z: -0.09840526
"
"x: -0.030966593
y: 0.030297844
z: 0.047020692
","x: -0.047607336
y: 0.015542135
z: 0.032010242
","x: -0.06393868
y: -0.0053693326
z: 0.0045866757
","x: -0.08334773
y: -0.030956363
z: -0.008703293
","x: -0.017340181
y: -0.007769216
z: -0.005372075
","x: -0.01667885
y: -0.03405885
z: -0.014778231
","x: -0.0167874
y: -0.054539584
z: -0.028834952
","x: -0.016467482
y: -0.07337837
z: -0.063505374
","x: 0.0004824242
y: -0.0028321887
z: -0.0021533605
","x: 0.0068664947
y: -0.00041681225
z: -0.02940398
","x: 0.0051093237
y: 0.008947394
z: -0.051351607
","x: 0.0059539997
y: 0.023848856
z: -0.07662107
"
"x: -0.03072545
y: 0.03776336
z: 0.044145234
","x: -0.049093075
y: 0.02077682
z: 0.030577797
","x: -0.06813889
y: -0.0035142861
z: 0.007471902
","x: -0.08627852
y: -0.032656442
z: -0.0029121873
","x: -0.018866548
y: -0.007628701
z: -0.0036309282
","x: -0.017959278
y: -0.035198018
z: -0.012891672
","x: -0.018619921
y: -0.05550031
z: -0.025895618
","x: -0.016811702
y: -0.07533274
z: -0.058904633
","x: 0.00012236973
y: -0.0033779144
z: -0.0017901417
","x: 0.0032633222
y: -0.0001450631
z: -0.030520195
","x: -0.0010726983
y: 0.0136204995
z: -0.04988385
","x: -0.00071870256
y: 0.02947995
z: -0.07015924
"
"x: -0.029796114
y: 0.041659497
z: 0.039487734
","x: -0.04857277
y: 0.026188882
z: 0.02781354
","x: -0.06621657
y: -0.00046354346
z: 0.006720708
","x: -0.0846055
y: -0.029998874
z: -0.0010935119
","x: -0.020655863
y: -0.005190997
z: -0.0050406335
","x: -0.019861478
y: -0.03245545
z: -0.0126422765
","x: -0.020760152
y: -0.0523893
z: -0.023935739
","x: -0.018312266
y: -0.0718064
z: -0.057412613
","x: -0.00027853408
y: -0.0028788035
z: -0.0017080158
","x: 0.00057105825
y: 0.0010166408
z: -0.029391423
","x: -0.003383055
y: 0.01155415
z: -0.045071907
","x: -0.0028247626
y: 0.024464285
z: -0.06765317
"
"x: -0.02993352
y: 0.041152544
z: 0.039437726
","x: -0.047606256
y: 0.024688728
z: 0.029704094
","x: -0.065024845
y: -0.0023498759
z: 0.009711773
","x: -0.08338501
y: -0.03075798
z: 0.004998764
","x: -0.021211898
y: -0.004992516
z: -0.0052732225
","x: -0.021661159
y: -0.03274794
z: -0.010303365
","x: -0.02414821
y: -0.05237356
z: -0.021566425
","x: -0.02243437
y: -0.072967485
z: -0.052772455
","x: -0.0004222451
y: -0.0028470554
z: -0.0016524671
","x: -0.00021648762
y: -0.0039032712
z: -0.029424839
","x: -0.002705243
y: 0.005115775
z: -0.048920944
","x: -0.0032262255
y: 0.016673397
z: -0.070323154
"
"x: -0.028594814
y: 0.039264582
z: 0.043265846
","x: -0.04560255
y: 0.0232205
z: 0.032977514
","x: -0.062795125
y: -0.0016356208
z: 0.008517214
","x: -0.08266176
y: -0.03002394
z: -0.0021310733
","x: -0.021408502
y: -0.0053797043
z: -0.0036927606
","x: -0.02233762
y: -0.035498176
z: -0.01084362
","x: -0.025165005
y: -0.056365732
z: -0.023185236
","x: -0.02521149
y: -0.074545294
z: -0.05440293
","x: -0.00016885193
y: -0.0026914226
z: -0.001366727
","x: 0.0012836149
y: -0.012356743
z: -0.0309989
","x: 0.0018889619
y: -0.011770404
z: -0.059151974
","x: 0.0048727286
y: -0.0069561605
z: -0.09617381
"
"x: -0.027183142
y: 0.03562018
z: 0.04508383
","x: -0.04394276
y: 0.02207131
z: 0.031533338
","x: -0.06028307
y: 0.001108232
z: 0.004185966
","x: -0.081759006
y: -0.025186624
z: -0.006374495
","x: -0.020880505
y: -0.004670428
z: -0.0051203924
","x: -0.02284781
y: -0.035087205
z: -0.011263076
","x: -0.027577823
y: -0.054954544
z: -0.024181798
","x: -0.027883073
y: -0.072979845
z: -0.054254968
","x: 4.7375215e-05
y: -0.002025689
z: -0.0014441402
","x: 0.0015911064
y: -0.013463284
z: -0.027533397
","x: 0.005527995
y: -0.019890722
z: -0.058828868
","x: 0.011654751
y: -0.02008037
z: -0.10343746
"
"x: -0.024775535
y: 0.037301127
z: 0.048606645
","x: -0.04283416
y: 0.022323875
z: 0.03404712
","x: -0.059640396
y: 0.001456677
z: 0.0034155813
","x: -0.079141945
y: -0.024409223
z: -0.008331877
","x: -0.021720173
y: -0.0052268994
z: -0.0045052497
","x: -0.023313805
y: -0.034500524
z: -0.012055318
","x: -0.028254809
y: -0.054938115
z: -0.024990715
","x: -0.029977363
y: -0.07245639
z: -0.053832695
","x: -0.00018192761
y: -0.0023996602
z: -0.0018674742
","x: 0.003861582
y: -0.01620826
z: -0.026598446
","x: 0.009893916
y: -0.025223186
z: -0.056022063
","x: 0.018465808
y: -0.031691466
z: -0.101726286
"
"x: -0.025220208
y: 0.038143992
z: 0.047006626
","x: -0.04348755
y: 0.023552414
z: 0.033544272
","x: -0.059233606
y: 0.00045477832
z: 0.0020106414
","x: -0.07869287
y: -0.024666667
z: -0.006732603
","x: -0.020555008
y: -0.006140817
z: -0.0040241387
","x: -0.024170933
y: -0.036570974
z: -0.0112737315
","x: -0.030443322
y: -0.05413279
z: -0.020334734
","x: -0.033570774
y: -0.07142206
z: -0.045985058
","x: -0.0003093957
y: -0.0035015908
z: -0.0012726844
","x: 0.00839205
y: -0.020651797
z: -0.022176119
","x: 0.018557835
y: -0.03742807
z: -0.042563844
","x: 0.032685347
y: -0.05181481
z: -0.084090754
"
"x: -0.0257049
y: 0.03746983
z: 0.04731195
","x: -0.04263915
y: 0.021908557
z: 0.0320711
","x: -0.05758639
y: 0.0006072726
z: -0.00038381794
","x: -0.07712963
y: -0.02423361
z: -0.008794964
","x: -0.01879099
y: -0.0060915607
z: -0.0034306566
","x: -0.022969944
y: -0.03680764
z: -0.012443853
","x: -0.028507164
y: -0.054203812
z: -0.021404292
","x: -0.032463618
y: -0.071497016
z: -0.046601906
","x: -0.00014198766
y: -0.0038078642
z: -0.0010481629
","x: 0.0076657506
y: -0.022671752
z: -0.022565795
","x: 0.017834395
y: -0.038270123
z: -0.04434801
","x: 0.03166366
y: -0.0540695
z: -0.086537935
"
"x: -0.026849402
y: 0.042244554
z: 0.043780785
","x: -0.044346847
y: 0.024542764
z: 0.030949377
","x: -0.059389073
y: 0.00047316588
z: 0.00073405314
","x: -0.07875841
y: -0.024329744
z: -0.0051728203
","x: -0.018869387
y: -0.006990445
z: -0.0028150359
","x: -0.024538696
y: -0.03766942
z: -0.009658417
","x: -0.029839572
y: -0.05515522
z: -0.018968763
","x: -0.03352735
y: -0.0731377
z: -0.043017834
","x: -0.00015246333
y: -0.003906533
z: -0.00078016275
","x: 0.008077179
y: -0.024434678
z: -0.020276107
","x: 0.01867918
y: -0.039963532
z: -0.03751802
","x: 0.033946656
y: -0.05641706
z: -0.074331455
"
"x: -0.025259344
y: 0.042341676
z: 0.043362968
","x: -0.043023575
y: 0.026075736
z: 0.029866034
","x: -0.058551047
y: 0.0014574095
z: -0.00054560753
","x: -0.077372395
y: -0.022986501
z: -0.0075106123
","x: -0.019382903
y: -0.005324156
z: -0.003267867
","x: -0.024000691
y: -0.036254488
z: -0.010896382
","x: -0.02904842
y: -0.054644544
z: -0.019146709
","x: -0.03251498
y: -0.072974965
z: -0.042957325
","x: -0.00044387754
y: -0.0038909556
z: -0.0010003421
","x: 0.009255249
y: -0.023697153
z: -0.020685479
","x: 0.020335294
y: -0.04071928
z: -0.03671335
","x: 0.03696741
y: -0.056713734
z: -0.07393349
"
"x: -0.02576337
y: 0.043767065
z: 0.04380545
","x: -0.042698544
y: 0.027338836
z: 0.029579561
","x: -0.058273308
y: 0.0034731561
z: -0.00071951566
","x: -0.076824
y: -0.022093192
z: -0.008334893
","x: -0.018584747
y: -0.005282551
z: -0.0026749573
","x: -0.024009913
y: -0.03656473
z: -0.011035618
","x: -0.028992873
y: -0.055003922
z: -0.01900425
","x: -0.032680962
y: -0.0729812
z: -0.04214408
","x: -0.00033487752
y: -0.0042599635
z: -0.00061901927
","x: 0.007811863
y: -0.02558664
z: -0.019933274
","x: 0.017958887
y: -0.042047292
z: -0.036393676
","x: 0.033259552
y: -0.058509994
z: -0.07275128
"
"x: -0.025002867
y: 0.04169369
z: 0.044961616
","x: -0.042401765
y: 0.025984716
z: 0.029789358
","x: -0.057914775
y: 0.0031123422
z: 0.0007487994
","x: -0.076552935
y: -0.021602593
z: -0.007953555
","x: -0.019142857
y: -0.006344092
z: -0.0032504464
","x: -0.024729524
y: -0.03623755
z: -0.010455405
","x: -0.030446988
y: -0.054386713
z: -0.018653324
","x: -0.034350425
y: -0.07119336
z: -0.043364204
","x: -0.00033163387
y: -0.0043203253
z: -0.001016995
","x: 0.008689822
y: -0.024939816
z: -0.01881016
","x: 0.018901112
y: -0.040963072
z: -0.03420038
","x: 0.035900135
y: -0.057702422
z: -0.070805795
"
"x: -0.025737792
y: 0.04239828
z: 0.043880593
","x: -0.042818103
y: 0.02659874
z: 0.029287025
","x: -0.058639135
y: 0.0041422513
z: -0.0020641582
","x: -0.078179486
y: -0.020306636
z: -0.00954307
","x: -0.017634775
y: -0.0063623344
z: -0.0021772082
","x: -0.02529585
y: -0.035457693
z: -0.009550629
","x: -0.030433455
y: -0.053510286
z: -0.01723596
","x: -0.03367302
y: -0.07020124
z: -0.041856103
","x: -0.00020206085
y: -0.0041803927
z: -0.00060829223
","x: 0.010110621
y: -0.025255186
z: -0.018152336
","x: 0.023593657
y: -0.041722093
z: -0.03511281
","x: 0.039099053
y: -0.059735384
z: -0.07237098
"
"x: -0.02609991
y: 0.04196546
z: 0.04481299
","x: -0.043679256
y: 0.027088666
z: 0.031098062
","x: -0.05877014
y: 0.004031685
z: -0.0012006097
","x: -0.07838485
y: -0.019199457
z: -0.009603026
","x: -0.017228028
y: -0.006746066
z: -0.0026408618
","x: -0.025112396
y: -0.036537725
z: -0.010116048
","x: -0.029459804
y: -0.053230863
z: -0.018588744
","x: -0.032347508
y: -0.07064546
z: -0.04405599
","x: -5.5953045e-05
y: -0.0043518716
z: -0.0006283912
","x: 0.011842157
y: -0.024897918
z: -0.018519402
","x: 0.026664156
y: -0.040593322
z: -0.03616583
","x: 0.043080952
y: -0.056923866
z: -0.07382352
"
"x: -0.025424853
y: 0.039046936
z: 0.04600109
","x: -0.04268154
y: 0.024348903
z: 0.03193931
","x: -0.05765002
y: 0.0030876016
z: -0.00012753734
","x: -0.07666814
y: -0.020215396
z: -0.009714981
","x: -0.015792888
y: -0.0071410816
z: -0.001806876
","x: -0.024654798
y: -0.03701155
z: -0.00877116
","x: -0.029307364
y: -0.05359375
z: -0.018076451
","x: -0.032784645
y: -0.07024954
z: -0.043077607
","x: 0.00026651565
y: -0.004397502
z: -0.0005288024
","x: 0.0124160955
y: -0.024552224
z: -0.016448062
","x: 0.028258007
y: -0.039497163
z: -0.035123684
","x: 0.04562447
y: -0.05571315
z: -0.07317341
"
"x: -0.026203977
y: 0.038145375
z: 0.047193397
","x: -0.042021748
y: 0.023769299
z: 0.03269645
","x: -0.05506992
y: 0.0034801085
z: -0.0019320403
","x: -0.075310156
y: -0.01864818
z: -0.011073698
","x: -0.014840223
y: -0.007645667
z: -0.0023802824
","x: -0.023673141
y: -0.036001764
z: -0.010050488
","x: -0.028130414
y: -0.05195751
z: -0.0201611
","x: -0.03167631
y: -0.067735754
z: -0.049363427
","x: 0.00024941046
y: -0.004011994
z: -0.0007077374
","x: 0.012790757
y: -0.024266528
z: -0.016057283
","x: 0.03048316
y: -0.036813695
z: -0.035759132
","x: 0.048076995
y: -0.053079966
z: -0.07570077
"
"x: -0.027359804
y: 0.03830252
z: 0.0456371
","x: -0.04340295
y: 0.023402719
z: 0.0312891
","x: -0.056884754
y: 0.0029665036
z: -0.0017260251
","x: -0.076646745
y: -0.019986045
z: -0.00953453
","x: -0.015325457
y: -0.0070638163
z: -0.0026828814
","x: -0.022465585
y: -0.03564847
z: -0.009801948
","x: -0.026495986
y: -0.052774742
z: -0.019141879
","x: -0.028485518
y: -0.06936471
z: -0.04845466
","x: 5.7496363e-06
y: -0.0040865354
z: -0.0007844569
","x: 0.01318402
y: -0.022469087
z: -0.016828956
","x: 0.030510742
y: -0.034144577
z: -0.03656884
","x: 0.049346615
y: -0.049069703
z: -0.075651094
"
"x: -0.029748244
y: 0.035406988
z: 0.04195998
","x: -0.044721976
y: 0.020567158
z: 0.027966393
","x: -0.057084914
y: -0.0006964365
z: -0.0037282954
","x: -0.07623872
y: -0.021347288
z: -0.013303129
","x: -0.015337301
y: -0.007641109
z: -0.00311771
","x: -0.022494972
y: -0.037021894
z: -0.010504458
","x: -0.02513351
y: -0.053623077
z: -0.02017528
","x: -0.026100108
y: -0.06942833
z: -0.047277436
","x: 0.0001674557
y: -0.004562648
z: -0.00020547796
","x: 0.014753314
y: -0.021192683
z: -0.016265102
","x: 0.032070264
y: -0.033548694
z: -0.037630994
","x: 0.052553833
y: -0.04445108
z: -0.07866495
"
"x: -0.030605866
y: 0.031347204
z: 0.045540467
","x: -0.04597985
y: 0.017153135
z: 0.03067768
","x: -0.058104143
y: -0.003263101
z: -0.0034003654
","x: -0.07727228
y: -0.02302444
z: -0.015717594
","x: -0.01400442
y: -0.009063179
z: -0.0047240118
","x: -0.01813845
y: -0.03906463
z: -0.012074574
","x: -0.020206472
y: -0.054918136
z: -0.022564871
","x: -0.022174025
y: -0.06897405
z: -0.05335528
","x: 0.00049136765
y: -0.0041555534
z: -0.00090692
","x: 0.01421367
y: -0.018360138
z: -0.018798329
","x: 0.030366823
y: -0.026931886
z: -0.041576162
","x: 0.049564548
y: -0.030403111
z: -0.083806254
"
"x: -0.033626713
y: 0.0338011
z: 0.04405372
","x: -0.04843584
y: 0.017764162
z: 0.027129957
","x: -0.06024882
y: -0.0039530117
z: -0.006196545
","x: -0.07793164
y: -0.026009947
z: -0.017361717
","x: -0.013986026
y: -0.010688225
z: -0.0047302204
","x: -0.017854962
y: -0.040063746
z: -0.010693019
","x: -0.020486062
y: -0.055310175
z: -0.021809842
","x: -0.022732433
y: -0.06822848
z: -0.05153221
","x: 0.00083971675
y: -0.00433517
z: -0.0010292357
","x: 0.016639994
y: -0.02015806
z: -0.017303798
","x: 0.032768324
y: -0.028043404
z: -0.040377274
","x: 0.05095627
y: -0.030370086
z: -0.08251056
"
"x: -0.035654403
y: 0.033260826
z: 0.043888766
","x: -0.04968834
y: 0.015843865
z: 0.025640294
","x: -0.06186561
y: -0.006274474
z: -0.0060604727
","x: -0.078526884
y: -0.02769075
z: -0.019288095
","x: -0.01358101
y: -0.011800449
z: -0.0033631993
","x: -0.017321547
y: -0.04258362
z: -0.009951009
","x: -0.020364242
y: -0.058098122
z: -0.021834137
","x: -0.021834316
y: -0.07062984
z: -0.051855635
","x: 0.0010088081
y: -0.005240878
z: -0.0007154338
","x: 0.016881231
y: -0.021024091
z: -0.018025396
","x: 0.031499483
y: -0.027026406
z: -0.042999715
","x: 0.05032325
y: -0.02642122
z: -0.08516098
"
"x: -0.033589937
y: 0.033892743
z: 0.044061244
","x: -0.04851102
y: 0.01659582
z: 0.026930898
","x: -0.06191109
y: -0.006476501
z: -0.004227703
","x: -0.079150386
y: -0.027540676
z: -0.017159136
","x: -0.014164883
y: -0.010480672
z: -0.00358214
","x: -0.017661829
y: -0.041647714
z: -0.009445735
","x: -0.02011985
y: -0.05753261
z: -0.02156876
","x: -0.021059291
y: -0.07027578
z: -0.05230849
","x: 0.00065752666
y: -0.004567302
z: -0.00041355574
","x: 0.016157389
y: -0.019221645
z: -0.019572819
","x: 0.031191032
y: -0.022602417
z: -0.046036337
","x: 0.048739564
y: -0.018500663
z: -0.08836288
"
